what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916695645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916701033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916701782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916739481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916741374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916742751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916743164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916996518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916997384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916999219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421916999689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917042143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917060738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917079169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917098065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917101312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421917106216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917111681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917112768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917114060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917115274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917119654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917120924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917123379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917124978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917145578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917150391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421917153225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917155516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917160915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917167937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917216944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917222611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917252426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917351017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421917389459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421917392860
