what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919617550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919619871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919619885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919622423
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1421919622440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919629077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919633626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919641401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919643772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919643781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919646289
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1421919646303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919651048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919669897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919674016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919676395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919676404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919677892
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1421919677899
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1421919680751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919692163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919697762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421919703854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421919706673
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1421919707059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919709461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919714674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919714683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919717142
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1421919717156
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1421919722418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1421919727848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421919729574
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1421919731386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919734057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919736869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919736879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919739273
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1421919739279
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1421919742666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421919745771
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1421919746455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919753455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919758824
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1421919759107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919759129
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1421919761762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919763226
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1421919763233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919778730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919790052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919793197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919794322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919794714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919816281
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1421919820212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919821475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919822806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919824171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919826017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919827358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919855719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421919858816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919880842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919881604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919933882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919937689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421919943463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920080420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920081272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920082016
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1421920122170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920125134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920127744
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1421920128049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920128085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920130347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920132735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920134342
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1421920167980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920185184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920203492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920225590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920240129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920243976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920248259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421920251193
